epoch,train_loss,val_loss,dice
1,0.8365065421797891,0.5395391547809476,0.5859015501647777
2,0.39299108014344725,0.3586259354715762,0.7010830759287194
3,0.32843407647642514,0.3399809417517289,0.7165723006558635
4,0.3034456527944821,0.28022946619793127,0.7659065392215068
5,0.27457921208688685,0.2683039325248936,0.7768459690532282
6,0.27394767081253785,0.2719896597382815,0.7719514651154421
7,0.2657739572650962,0.2602938203060109,0.7820179009574728
8,0.2531613366706158,0.25350544946673126,0.7837672135580088
9,0.24152577487376534,0.27377118256105026,0.7664233391227595
10,0.24585183979873892,0.23836887220487646,0.8015845743998754
11,0.23267397015536231,0.23579609381115954,0.8007271769528692
12,0.2308089429679424,0.23647061769405137,0.8006378632377955
13,0.22477905466846787,0.22486854125948055,0.8105620194125273
14,0.2274133408330937,0.22308258506590906,0.8115993885615709
15,0.22203128570134736,0.22459632773762164,0.8092593832427393
16,0.22279510611786382,0.24042700381706592,0.7986243433368382
17,0.21067784065658698,0.24217347815308882,0.7939839772105662
18,0.21281591654623122,0.23441159550262533,0.8027320040493657
19,0.19330565160168195,0.22774556235450766,0.8080943796026986
20,0.18669670819193682,0.2269386125323565,0.8053391637108491
21,0.18665626348316003,0.23112649338562852,0.8039015598164911
22,0.1820008529822773,0.20989941301877085,0.8225228404344069
23,0.18337852137211932,0.20277795767330606,0.8275116940884365
24,0.1791285701884902,0.2212335500623221,0.8118267543823965
25,0.17675625836240377,0.21199199200972266,0.8194404692902817
26,0.17456849653850684,0.20430299152984568,0.8271036900030753
27,0.17182085159193003,0.2090829472421952,0.8231869647732389
28,0.16386743230439388,0.20052815932456566,0.829863521956292
29,0.16656299709662128,0.20002568424071954,0.8297004959338506
30,0.16042334721910198,0.20013949006148007,0.8297960323372694
31,0.15998508993869842,0.19952703707082117,0.8309447886892999
32,0.15436864512930834,0.20523267187502073,0.8244231398366695
33,0.1586512992603343,0.19440404468256495,0.8352920988301301
34,0.1544212503949486,0.2024541051329478,0.8284602939077835
35,0.15393626796422222,0.19591363607703344,0.8336507313257164
36,0.15200734331877208,0.19588125010385463,0.8339540289160694
37,0.14986120457170227,0.19819765535547682,0.8326004084642551
38,0.1459228665717363,0.19502199500313272,0.8345306026792336
39,0.14689780270277675,0.1973305024449592,0.8328472723802248
40,0.14477858778589697,0.1947011122480035,0.8352886290236315
41,0.143965970763047,0.20131531368293193,0.8275615210655024
42,0.14255945837479642,0.19685567798011977,0.8325439226474491
43,0.13968695055192976,0.20249238879946263,0.8272933468407364
